I> [12/10/2009 08:01:45] Port activé avec succès.
I> [12/10/2009 16:53:05] Réception: programme 692 (Z0915A)
I> [12/10/2009 16:53:23] Réception: programme 693 (Z0915A)
I> [12/10/2009 16:53:39] Réception: programme 694 (Z0915A)
I> [12/10/2009 16:53:47] Réception: programme 695 (Z0915A)
I> [12/10/2009 16:53:54] Réception: programme 696 (Z0915A)
I> [12/10/2009 16:53:59] Réception: programme 697 (Z0915A)
I> [12/10/2009 16:54:04] Réception: programme 698 (Z0915A)
I> [12/10/2009 16:54:09] Réception: programme 699 (Z0915A)
I> [12/10/2009 16:54:13] Réception: programme 700 (Z0915A)
I> [12/10/2009 16:54:24] Réception: programme 701 (Z0915A)
I> [12/10/2009 16:54:33] Fichier reçu: C:\machines\T32 Bis\Programmes\Z0915A.MZK
I> [12/10/2009 16:54:33] Programmes dans les fichiers demandés: Programme 692 (Z0915A), Programme 693 (Z0915A), Programme 694 (Z0915A), Programme 695 (Z0915A), Programme 696 (Z0915A), Programme 697 (Z0915A), Programme 698 (Z0915A), Programme 699 (Z0915A), Programme 700 (Z0915A), Programme 701 (Z0915A)
